Description,Real Estate Type,Location,City,Province,Region,Highly Urbanized?,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Total_area (sqm),Price per sqm,Latitude,Longitude,Link
"3-Bedroom SA House and Lot for Sale in Abucay, Bataan at The Hauslands Bataan | Lily ...",House,"Capitangan, Abucay",Abucay,Bataan,Region III,0,"3,810,000",3,na,69,88,157,24267.52,14.7131,120.5377528,https://www.lamudi.com.ph/3-bedroom-sa-house-and-lot-for-sale-in-abucay-bata-171291799023.html
"3-Bedroom SD House and Lot for Sale in Abucay, Bataan at The Hauslands Bataan | Magno...",House,"Capitangan, Abucay",Abucay,Bataan,Region III,0,"4,350,000",3,na,81,120,201,21641.79,14.7131,120.5377528,https://www.lamudi.com.ph/3-bedroom-sd-house-and-lot-for-sale-in-abucay-bata-171291799150.html
"3-Bedroom SD House and Lot for Sale in Abucay, Bataan at The Hauslands Bataan | Magno...",House,"Capitangan, Abucay",Abucay,Bataan,Region III,0,"5,253,200",3,na,81,120,201,26135.32,14.7131,120.5377528,https://www.lamudi.com.ph/3-bedroom-sd-house-and-lot-for-sale-in-abucay-bata-171291799186.html
"For Sale 3-Bedroom SD House and Lot in Abucay, Bataan at The Hauslands Bataan | Magno...",House,"Capitangan, Abucay",Abucay,Bataan,Region III,0,"4,350,000",3,na,81,120,201,21641.79,14.7131,120.5377528,https://www.lamudi.com.ph/for-sale-3-bedroom-sd-house-and-lot-in-abucay-bata-171291976523.html
"For Sale 3-Bedroom SD House and Lot in Abucay, Bataan at The Hauslands Bataan | Magno...",House,"Capitangan, Abucay",Abucay,Bataan,Region III,0,"5,253,200",3,na,81,120,201,26135.32,14.7131,120.5377528,https://www.lamudi.com.ph/for-sale-3-bedroom-sd-house-and-lot-in-abucay-bata-171291976511.html
"House and Lot with 3 Bedrooms for Sale in Abucay, Bataan at The Hauslands Bataan | Li...",House,"Capitangan, Abucay",Abucay,Bataan,Region III,0,"3,810,000",3,na,69,88,157,24267.52,14.7131,120.5377528,https://www.lamudi.com.ph/house-and-lot-with-3-bedrooms-for-sale-in-abucay-b-171291976767.html
3 Bedroom House and Lot in Angeles City,House,"Mining, Angeles",Angeles,Pampanga,Region III,1,"12,500,000",3,na,200,126,326,38343.56,15.133755,120.639677,https://www.lamudi.com.ph/3-bedroom-house-and-lot-in-angeles-city-171230701193.html
Avida Land an Ayala land Company House and Lot in Pampanga,House,"Mining, Angeles",Angeles,Pampanga,Region III,1,"8,000,000",3,na,84,84,168,47619.05,15.133755,120.639677,https://www.lamudi.com.ph/avida-land-an-ayala-land-company-house-and-lot-in-170986354597.html
Two-storey House and Lot for Sale with Pool in Angeles City,House,"Amsic, Angeles",Angeles,Pampanga,Region III,1,"22,000,000",5,na,300,240,540,40740.74,15.15043,120.595558,https://www.lamudi.com.ph/two-storey-house-and-lot-for-sale-with-pool-in-ang-171230746561.html
Tranquil Vacant Lot in an exclusive community For Sale,Lot,"San Juan, Antipolo",Antipolo,Rizal,Region IV-A,0,"2,700,000",na,na,na,150,150,18000,14.721661,121.254587,https://www.lamudi.com.ph/tranquil-vacant-lot-in-an-exclusive-community-for-170573584039.html
Lot For Sale In Antipolo Near Fatima University,Lot,"Santa Cruz, Antipolo",Antipolo,Rizal,Region IV-A,0,"3,750,000",na,na,na,150,150,25000,14.5841,121.17485,https://www.lamudi.com.ph/lot-for-sale-in-antipolo-near-fatima-university-171222661054.html
"999sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"31,329,000",na,na,na,999,999,31360.36,14.6232,121.1731712,https://www.lamudi.com.ph/999sqm-residential-lot-for-sale-in-antipolo-rizal-170529502974.html
"998sqm Prime Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"31,298,000",na,na,na,998,998,31360.72,14.6232,121.1731712,https://www.lamudi.com.ph/998sqm-prime-residential-lot-for-sale-in-antipolo-170538704257.html
"965sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"30,263,000",na,na,na,965,965,31360.62,14.6232,121.1731712,https://www.lamudi.com.ph/965sqm-residential-lot-for-sale-in-antipolo-rizal-170529500140.html
"964sqm CI/Prime Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antip...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"31,311,000",na,na,na,964,964,32480.29,14.6232,121.1731712,https://www.lamudi.com.ph/964sqm-ci-prime-residential-lot-for-sale-in-antipo-170485852651.html
"960sqm Fairway Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"32,256,000",na,na,na,960,960,33600,14.6232,121.1731712,https://www.lamudi.com.ph/960sqm-fairway-residential-lot-for-sale-in-antipol-170529501141.html
"935sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"29,322,000",na,na,na,935,935,31360.43,14.6232,121.1731712,https://www.lamudi.com.ph/935sqm-residential-lot-for-sale-in-antipolo-rizal-170538700827.html
"932sqm Corner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipol...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"29,228,000",na,na,na,932,932,31360.52,14.6232,121.1731712,https://www.lamudi.com.ph/932sqm-corner-residential-lot-for-sale-in-antipolo-170485853223.html
"928sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"28,063,000",na,na,na,928,928,30240.3,14.6232,121.1731712,https://www.lamudi.com.ph/928sqm-residential-lot-for-sale-in-antipolo-rizal-170529503487.html
"907sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"28,444,000",na,na,na,907,907,31360.53,14.6232,121.1731712,https://www.lamudi.com.ph/907sqm-residential-lot-for-sale-in-antipolo-rizal-170547984744.html
"899sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"28,193,000",na,na,na,899,899,31360.4,14.6232,121.1731712,https://www.lamudi.com.ph/899sqm-residential-lot-for-sale-in-antipolo-rizal-170547983227.html
"892sqm Inner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"26,975,000",na,na,na,892,892,30241.03,14.6232,121.1731712,https://www.lamudi.com.ph/892sqm-inner-residential-lot-for-sale-in-antipolo-170538705730.html
"891sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"29,938,000",na,na,na,891,891,33600.45,14.6232,121.1731712,https://www.lamudi.com.ph/891sqm-residential-lot-for-sale-in-antipolo-rizal-170529501016.html
"871sqm Corner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipol...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"27,315,000",na,na,na,871,871,31360.51,14.6232,121.1731712,https://www.lamudi.com.ph/871sqm-corner-residential-lot-for-sale-in-antipolo-170538705945.html
"867sqm Prime Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"27,190,000",na,na,na,867,867,31361.01,14.6232,121.1731712,https://www.lamudi.com.ph/867sqm-prime-residential-lot-for-sale-in-antipolo-17053870340.html
"859sqm CI/Prime Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antip...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"27,901,000",na,na,na,859,859,32480.79,14.6232,121.1731712,https://www.lamudi.com.ph/859sqm-ci-prime-residential-lot-for-sale-in-antipo-170529498135.html
"858sqm Inner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"25,946,000",na,na,na,858,858,30240.09,14.6232,121.1731712,https://www.lamudi.com.ph/858sqm-inner-residential-lot-for-sale-in-antipolo-170556086122.html
"854sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"25,825,000",na,na,na,854,854,30240.05,14.6232,121.1731712,https://www.lamudi.com.ph/854sqm-residential-lot-for-sale-in-antipolo-rizal-17053869972.html
"851sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"25,735,000",na,na,na,851,851,30240.89,14.6232,121.1731712,https://www.lamudi.com.ph/851sqm-residential-lot-for-sale-in-antipolo-rizal-170556083621.html
"850sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"25,704,000",na,na,na,850,850,30240,14.6232,121.1731712,https://www.lamudi.com.ph/850sqm-residential-lot-for-sale-in-antipolo-rizal-170538701660.html
"842sqm Inner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"25,463,000",na,na,na,842,842,30241.09,14.6232,121.1731712,https://www.lamudi.com.ph/842sqm-inner-residential-lot-for-sale-in-antipolo-170538704414.html
"835sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"26,186,000",na,na,na,835,835,31360.48,14.6232,121.1731712,https://www.lamudi.com.ph/835sqm-residential-lot-for-sale-in-antipolo-rizal-170556082842.html
"824sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"25,841,000",na,na,na,824,824,31360.44,14.6232,121.1731712,https://www.lamudi.com.ph/824sqm-residential-lot-for-sale-in-antipolo-rizal-170529500488.html
"815sqm Inner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"24,646,000",na,na,na,815,815,30240.49,14.6232,121.1731712,https://www.lamudi.com.ph/815sqm-inner-residential-lot-for-sale-in-antipolo-170547979163.html
"814sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"24,616,000",na,na,na,814,814,30240.79,14.6232,121.1731712,https://www.lamudi.com.ph/814sqm-residential-lot-for-sale-in-antipolo-rizal-170547982345.html
"811sqm Fairway Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"27,250,000",na,na,na,811,811,33600.49,14.6232,121.1731712,https://www.lamudi.com.ph/811sqm-fairway-residential-lot-for-sale-in-antipol-170538702252.html
"810sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"26,309,000",na,na,na,810,810,32480.25,14.6232,121.1731712,https://www.lamudi.com.ph/810sqm-residential-lot-for-sale-in-antipolo-rizal-170547980074.html
"802sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"25,151,000",na,na,na,802,802,31360.35,14.6232,121.1731712,https://www.lamudi.com.ph/802sqm-residential-lot-for-sale-in-antipolo-rizal-170547980577.html
"801sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"25,120,000",na,na,na,801,801,31360.8,14.6232,121.1731712,https://www.lamudi.com.ph/801sqm-residential-lot-for-sale-in-antipolo-rizal-170547981693.html
"793sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"24,869,000",na,na,na,793,793,31360.66,14.6232,121.1731712,https://www.lamudi.com.ph/793sqm-residential-lot-for-sale-in-antipolo-rizal-170538699819.html
"791sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"23,920,000",na,na,na,791,791,30240.2,14.6232,121.1731712,https://www.lamudi.com.ph/791sqm-residential-lot-for-sale-in-antipolo-rizal-170538704156.html
"787sqm Inner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"23,799,000",na,na,na,787,787,30240.15,14.6232,121.1731712,https://www.lamudi.com.ph/787sqm-inner-residential-lot-for-sale-in-antipolo-170538703178.html
"785sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"25,497,000",na,na,na,785,785,32480.25,14.6232,121.1731712,https://www.lamudi.com.ph/785sqm-residential-lot-for-sale-in-antipolo-rizal-170547980973.html
"774sqm Corner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipol...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"24,273,000",na,na,na,774,774,31360.47,14.6232,121.1731712,https://www.lamudi.com.ph/774sqm-corner-residential-lot-for-sale-in-antipolo-170529500953.html
"770sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"24,148,000",na,na,na,770,770,31361.04,14.6232,121.1731712,https://www.lamudi.com.ph/770sqm-residential-lot-for-sale-in-antipolo-rizal-170556083666.html
"755sqm Fairway Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"25,368,000",na,na,na,755,755,33600,14.6232,121.1731712,https://www.lamudi.com.ph/755sqm-fairway-residential-lot-for-sale-in-antipol-170538706172.html
"754sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"22,801,000",na,na,na,754,754,30240.05,14.6232,121.1731712,https://www.lamudi.com.ph/754sqm-residential-lot-for-sale-in-antipolo-rizal-170538701066.html
"749sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"23,489,000",na,na,na,749,749,31360.48,14.6232,121.1731712,https://www.lamudi.com.ph/749sqm-residential-lot-for-sale-in-antipolo-rizal-170529499631.html
"748sqm Prime Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"23,458,000",na,na,na,748,748,31360.96,14.6232,121.1731712,https://www.lamudi.com.ph/748sqm-prime-residential-lot-for-sale-in-antipolo-170556084789.html
"739sqm Inner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"22,348,000",na,na,na,739,739,30240.87,14.6232,121.1731712,https://www.lamudi.com.ph/739sqm-inner-residential-lot-for-sale-in-antipolo-170529497877.html
"732sqm Corner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipol...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"22,956,000",na,na,na,732,732,31360.66,14.6232,121.1731712,https://www.lamudi.com.ph/732sqm-corner-residential-lot-for-sale-in-antipolo-170538701517.html
"730sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"23,711,000",na,na,na,730,730,32480.82,14.6232,121.1731712,https://www.lamudi.com.ph/730sqm-residential-lot-for-sale-in-antipolo-rizal-170538698629.html
"725sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"22,736,000",na,na,na,725,725,31360,14.6232,121.1731712,https://www.lamudi.com.ph/725sqm-residential-lot-for-sale-in-antipolo-rizal-17054798403.html
"724sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"22,705,000",na,na,na,724,724,31360.5,14.6232,121.1731712,https://www.lamudi.com.ph/724sqm-residential-lot-for-sale-in-antipolo-rizal-170547985121.html
"721sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"23,419,000",na,na,na,721,721,32481.28,14.6232,121.1731712,https://www.lamudi.com.ph/721sqm-residential-lot-for-sale-in-antipolo-rizal-170556088970.html
"721sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"22,611,000",na,na,na,721,721,31360.61,14.6232,121.1731712,https://www.lamudi.com.ph/721sqm-residential-lot-for-sale-in-antipolo-rizal-170547978897.html
"719sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"22,548,000",na,na,na,719,719,31360.22,14.6232,121.1731712,https://www.lamudi.com.ph/719sqm-residential-lot-for-sale-in-antipolo-rizal-170547984770.html
"718sqm Prime Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"22,517,000",na,na,na,718,718,31360.72,14.6232,121.1731712,https://www.lamudi.com.ph/718sqm-prime-residential-lot-for-sale-in-antipolo-170538699974.html
"718sqm Corner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipol...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"22,517,000",na,na,na,718,718,31360.72,14.6232,121.1731712,https://www.lamudi.com.ph/718sqm-corner-residential-lot-for-sale-in-antipolo-170538708032.html
"712sqm Fairway Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"23,924,000",na,na,na,712,712,33601.12,14.6232,121.1731712,https://www.lamudi.com.ph/712sqm-fairway-residential-lot-for-sale-in-antipol-170556085357.html
"703sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"22,047,000",na,na,na,703,703,31361.31,14.6232,121.1731712,https://www.lamudi.com.ph/703sqm-residential-lot-for-sale-in-antipolo-rizal-170547977799.html
"699sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"21,921,000",na,na,na,699,699,31360.52,14.6232,121.1731712,https://www.lamudi.com.ph/699sqm-residential-lot-for-sale-in-antipolo-rizal-170547980710.html
"699sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"21,138,000",na,na,na,699,699,30240.34,14.6232,121.1731712,https://www.lamudi.com.ph/699sqm-residential-lot-for-sale-in-antipolo-rizal-170538701160.html
"698sqm Corner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipol...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"21,890,000",na,na,na,698,698,31361.03,14.6232,121.1731712,https://www.lamudi.com.ph/698sqm-corner-residential-lot-for-sale-in-antipolo-170547978164.html
"694sqm Residential Lot for Sale in Antipolo, Rizal | The Daintree Residences at Eastl...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"27,584,000",na,na,na,694,694,39746.4,14.6232,121.1731712,https://www.lamudi.com.ph/694sqm-residential-lot-for-sale-in-antipolo-rizal-170529510231.html
"694sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"20,987,000",na,na,na,694,694,30240.63,14.6232,121.1731712,https://www.lamudi.com.ph/694sqm-residential-lot-for-sale-in-antipolo-rizal-170556089967.html
"694sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"20,987,000",na,na,na,694,694,30240.63,14.6232,121.1731712,https://www.lamudi.com.ph/694sqm-residential-lot-for-sale-in-antipolo-rizal-170538699244.html
"693sqm Prime Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"21,733,000",na,na,na,693,693,31360.75,14.6232,121.1731712,https://www.lamudi.com.ph/693sqm-prime-residential-lot-for-sale-in-antipolo-170547979073.html
"667sqm Residential Lot for Sale in Antipolo, Rizal | The Daintree Residences at Eastl...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"25,249,000",na,na,na,667,667,37854.57,14.6232,121.1731712,https://www.lamudi.com.ph/667sqm-residential-lot-for-sale-in-antipolo-rizal-170529502450.html
"664sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"22,311,000",na,na,na,664,664,33600.9,14.6232,121.1731712,https://www.lamudi.com.ph/664sqm-residential-lot-for-sale-in-antipolo-rizal-170547980219.html
"659sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"20,667,000",na,na,na,659,659,31361.15,14.6232,121.1731712,https://www.lamudi.com.ph/659sqm-residential-lot-for-sale-in-antipolo-rizal-170529504593.html
"657sqm  Prime Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipol...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"20,604,000",na,na,na,657,657,31360.73,14.6232,121.1731712,https://www.lamudi.com.ph/657sqm-prime-residential-lot-for-sale-in-antipolo-170538703345.html
"653sqm Inner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"19,747,000",na,na,na,653,653,30240.43,14.6232,121.1731712,https://www.lamudi.com.ph/653sqm-inner-residential-lot-for-sale-in-antipolo-170547978642.html
"650sqm Inner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"19,656,000",na,na,na,650,650,30240,14.6232,121.1731712,https://www.lamudi.com.ph/650sqm-inner-residential-lot-for-sale-in-antipolo-17054797679.html
"643sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"21,605,000",na,na,na,643,643,33600.31,14.6232,121.1731712,https://www.lamudi.com.ph/643sqm-residential-lot-for-sale-in-antipolo-rizal-170529501464.html
"636sqm Residential Lot for Sale in Antipolo, Rizal | The Daintree Residences at Eastl...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"24,075,000",na,na,na,636,636,37853.77,14.6232,121.1731712,https://www.lamudi.com.ph/636sqm-residential-lot-for-sale-in-antipolo-rizal-170529502855.html
"636sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"19,233,000",na,na,na,636,636,30240.57,14.6232,121.1731712,https://www.lamudi.com.ph/636sqm-residential-lot-for-sale-in-antipolo-rizal-170547985289.html
"633sqm Inner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"19,142,000",na,na,na,633,633,30240.13,14.6232,121.1731712,https://www.lamudi.com.ph/633sqm-inner-residential-lot-for-sale-in-antipolo-170529500597.html
"630sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"19,757,000",na,na,na,630,630,31360.32,14.6232,121.1731712,https://www.lamudi.com.ph/630sqm-residential-lot-for-sale-in-antipolo-rizal-17054797808.html
"626sqm Fairway Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"21,034,000",na,na,na,626,626,33600.64,14.6232,121.1731712,https://www.lamudi.com.ph/626sqm-fairway-residential-lot-for-sale-in-antipol-170529498123.html
"624sqm Inner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"18,870,000",na,na,na,624,624,30240.38,14.6232,121.1731712,https://www.lamudi.com.ph/624sqm-inner-residential-lot-for-sale-in-antipolo-170529499874.html
"622sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"18,810,000",na,na,na,622,622,30241.16,14.6232,121.1731712,https://www.lamudi.com.ph/622sqm-residential-lot-for-sale-in-antipolo-rizal-17053870305.html
"622sqm Inner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"18,810,000",na,na,na,622,622,30241.16,14.6232,121.1731712,https://www.lamudi.com.ph/622sqm-inner-residential-lot-for-sale-in-antipolo-170485853829.html
"621sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"19,475,000",na,na,na,621,621,31360.71,14.6232,121.1731712,https://www.lamudi.com.ph/621sqm-residential-lot-for-sale-in-antipolo-rizal-170529503054.html
"618sqm Corner Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipol...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"19,381,000",na,na,na,618,618,31360.84,14.6232,121.1731712,https://www.lamudi.com.ph/618sqm-corner-residential-lot-for-sale-in-antipolo-170529499234.html
"617sqm Residential Lot for Sale in Antipolo, Rizal | Eastland Heights, Antipolo - Pha...",Lot,"Inarawan, Antipolo",Antipolo,Rizal,Region IV-A,0,"19,350,000",na,na,na,617,617,31361.43,14.6232,121.1731712,https://www.lamudi.com.ph/617sqm-residential-lot-for-sale-in-antipolo-rizal-170556082859.html
