Description,Real Estate Type,Location,City,Province,Region,Highly Urbanized?,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Total_area (sqm),Price per sqm,Latitude,Longitude,Link
"Studio Condo Unit for Sale in Ermita, Manila at Suntrust Parkview | 24sqm",Condo Unit,"Ermita, Manila",Manila,Metropolitan Manila,NCR,1,"4,502,880",1,1,24,na,24,187620,14.591,120.9835545,https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-ermita-manila-at-sun-171152834995.html
"RFO 3BR Unit at Suntrust Solana, Natividad Almeda-lopez Ermita Manila",Condo Unit,"Ermita, Manila",Manila,Metropolitan Manila,NCR,1,"10,431,200",3,1,52,na,52,200600,14.5860743,120.9825154,https://www.lamudi.com.ph/rfo-3br-unit-at-suntrust-solana-natividad-almeda-l-171195671756.html
"Exclusive Buyer's Promo! Studio Unit for Sale in Taft Ave., Malate, Manila at Kizuna ...",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"7,081,111",1,1,23,na,23,307874.39,14.5611008,120.995397,https://www.lamudi.com.ph/exclusive-buyer-s-promo-studio-unit-for-sale-in-ta-171074113019.html
"Exclusive Buyer's Promo! Studio Unit for Sale in Taft Ave., Malate, Manila at Kizuna ...",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"7,010,107",1,1,23,na,23,304787.26,14.5611008,120.995397,https://www.lamudi.com.ph/exclusive-buyer-s-promo-studio-unit-for-sale-in-ta-171074113079.html
"Exclusive Buyer's Promo! Studio Unit for Sale in Taft Ave., Malate, Manila at Kizuna ...",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"6,981,706",1,1,23,na,23,303552.43,14.5611008,120.995397,https://www.lamudi.com.ph/exclusive-buyer-s-promo-studio-unit-for-sale-in-ta-171074112991.html
"Exclusive Buyer's Promo! Studio Unit for Sale in Taft Ave., Malate, Manila at Kizuna ...",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"6,967,505",1,1,23,na,23,302935,14.5611008,120.995397,https://www.lamudi.com.ph/exclusive-buyer-s-promo-studio-unit-for-sale-in-ta-171074112882.html
"Exclusive Buyer's Promo! 1BR Condo Unit for Sale in Taft Ave., Malate, Manila at Kizu...",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"11,799,817",1,1,42,na,42,280948.02,14.5611008,120.995397,https://www.lamudi.com.ph/exclusive-buyer-s-promo-1br-condo-unit-for-sale-in-171074113169.html
"Exclusive Buyer's Promo! 1BR Condo Unit for Sale in Taft Ave., Malate, Manila at Kizu...",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"11,747,784",1,1,42,na,42,279709.14,14.5611008,120.995397,https://www.lamudi.com.ph/exclusive-buyer-s-promo-1br-condo-unit-for-sale-in-171074113099.html
"Exclusive Buyer's Promo! 1BR Condo Unit for Sale in Taft Ave., Malate, Manila at Kizu...",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"11,046,977",1,1,39,na,39,283255.82,14.5611008,120.995397,https://www.lamudi.com.ph/exclusive-buyer-s-promo-1br-condo-unit-for-sale-in-171074112886.html
"Exclusive Buyer's Promo! 1BR Condo Unit for Sale in Taft Ave., Malate, Manila at Kizu...",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"11,022,601",1,1,39,na,39,282630.79,14.5611008,120.995397,https://www.lamudi.com.ph/exclusive-buyer-s-promo-1br-condo-unit-for-sale-in-17107411302.html
"Exclusive Buyer's Promo! 1BR Condo Unit for Sale in Taft Ave., Malate, Manila at Kizu...",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"9,451,515",1,1,33,na,33,286409.55,14.5611008,120.995397,https://www.lamudi.com.ph/exclusive-buyer-s-promo-1br-condo-unit-for-sale-in-171074113026.html
"Exclusive Buyer's Promo! 1BR Condo Unit for Sale in Taft Ave., Malate, Manila at Kizu...",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"9,287,547",1,1,33,na,33,281440.82,14.5611008,120.995397,https://www.lamudi.com.ph/exclusive-buyer-s-promo-1br-condo-unit-for-sale-in-171074112916.html
"Exclusive Buyer's Promo! 1BR Condo Unit for Sale in Malate, Manila at Sky Arts Manila...",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"12,830,570",1,1,44,na,44,291603.86,14.5738,120.9869335,https://www.lamudi.com.ph/exclusive-buyer-s-promo-1br-condo-unit-for-sale-in-171074113396.html
"Exclusive Buyer's Promo! 1BR Condo Unit for Sale in Malate, Manila at Sky Arts Manila...",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"10,580,145",1,1,36,na,36,293892.92,14.5738,120.9869335,https://www.lamudi.com.ph/exclusive-buyer-s-promo-1br-condo-unit-for-sale-in-17107411322.html
"Exclusive Buyer's Promo! 1BR Condo Unit for Sale in Malate, Manila at Sky Arts Manila...",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"9,324,883",1,1,31,na,31,300802.68,14.5738,120.9869335,https://www.lamudi.com.ph/exclusive-buyer-s-promo-1br-condo-unit-for-sale-in-171074113230.html
"3BR Condo Unit for Sale in Malate, Manila at Cityland One Hidalgo | 80.01sqm",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"10,970,145",3,2,80,na,80,137126.81,14.574263,120.988571,https://www.lamudi.com.ph/3br-condo-unit-for-sale-in-malate-manila-at-cityla-170070263941.html
"2BR Condo Unit for Sale in Malate, Manila at Cityland One Hidalgo | 63.80sqm",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"7,399,582",2,2,63,na,63,117453.68,14.574263,120.988571,https://www.lamudi.com.ph/2br-condo-unit-for-sale-in-malate-manila-at-cityla-170070263683.html
"2-Bedroom Condo Unit for Sale in Santa Ana, Manila at Suntrust Ascentia",Condo Unit,"Santa Ana, Manila",Manila,Metropolitan Manila,NCR,1,"7,287,680",2,1,38,na,38,191781.05,14.582445,121.015204,https://www.lamudi.com.ph/2-bedroom-condo-unit-for-sale-in-santa-ana-manila-171194835217.html
"2-Bedroom Condo Unit for Sale in Ermita, Manila at Suntrust Solana",Condo Unit,"Ermita, Manila",Manila,Metropolitan Manila,NCR,1,"8,166,426",2,1,39,na,39,209395.54,14.590526,120.985482,https://www.lamudi.com.ph/2-bedroom-condo-unit-for-sale-in-ermita-manila-at-171194834614.html
"1BR Condo Unit for Sale in Malate, Manila at Cityland One Hidalgo | 29.48sqm",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"3,400,988",1,1,29,na,29,117275.45,14.574263,120.988571,https://www.lamudi.com.ph/1br-condo-unit-for-sale-in-malate-manila-at-cityla-170070263922.html
"1 Bedroom Condo Unit for Sale in Malate, Manila | The Suites at Torre Lorenzo Malate",Condo Unit,"Malate, Manila",Manila,Metropolitan Manila,NCR,1,"6,814,500",1,1,24,na,24,283937.5,14.5738,120.9875991,https://www.lamudi.com.ph/1-bedroom-condo-unit-for-sale-in-malate-manila-the-170261012637.html
Modern 3 Bedroom Townhouse in Marikina City,House,"Concepcion Uno, Marikina",Marikina,Metropolitan Manila,NCR,1,"10,500,000",3,na,156,90,246,42682.93,14.649665,121.105875,https://www.lamudi.com.ph/modern-3-bedroom-townhouse-in-marikina-city-171282173628.html
"Lot Only for Sale in Mexico, Pampanga at The Lakeshore – Westwood Village",Lot,"Panipuan, Mexico",Mexico,Pampanga,Region III,0,"3,873,000",na,na,na,245,245,15808.16,15.087032,120.676399,https://www.lamudi.com.ph/lot-only-for-sale-in-mexico-pampanga-at-the-lakesh-170288827184.html
"Lot Only for Sale in Mexico, Pampanga at The Lakeshore – Stonegate Village",Lot,"Panipuan, Mexico",Mexico,Pampanga,Region III,0,"4,152,700",na,na,na,237,237,17521.94,15.10034,120.672847,https://www.lamudi.com.ph/lot-only-for-sale-in-mexico-pampanga-at-the-lakesh-170288827384.html
"Lot Only for Sale in Mexico, Pampanga at The Lakeshore – Eastlake Village",Lot,"Panipuan, Mexico",Mexico,Pampanga,Region III,0,"5,712,000",na,na,na,305,305,18727.87,15.090208,120.676745,https://www.lamudi.com.ph/lot-only-for-sale-in-mexico-pampanga-at-the-lakesh-170288826722.html
"Lot Only for Sale in Mexico, Pampanga at The Lakeshore – Commercial Village",Lot,"Panipuan, Mexico",Mexico,Pampanga,Region III,0,"14,166,800",na,na,na,506,506,27997.63,15.096772,120.670467,https://www.lamudi.com.ph/lot-only-for-sale-in-mexico-pampanga-at-the-lakesh-170288827122.html
"Lot Only for Sale in Mexico, Pampanga at The Lakeshore – Aiola West Village",Lot,"Panipuan, Mexico",Mexico,Pampanga,Region III,0,"7,565,500",na,na,na,395,395,19153.16,15.101752,120.667096,https://www.lamudi.com.ph/lot-only-for-sale-in-mexico-pampanga-at-the-lakesh-170288826631.html
"Lot Only for Sale in Mexico, Pampanga at Ajoya Pampanga (near NLEX-Mexico exit)",Lot,"Eden, Mexico",Mexico,Pampanga,Region III,0,"2,948,000",na,na,na,170,170,17341.18,15.1284,120.6539916,https://www.lamudi.com.ph/lot-only-for-sale-in-mexico-pampanga-at-ajoya-pamp-17078917094.html
"2-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Imperial Model",House,"Panipuan, Mexico",Mexico,Pampanga,Region III,0,"1,837,500",2,na,52,154,206,8919.9,15.102519,120.668492,https://www.lamudi.com.ph/2-bedroom-house-for-sale-in-mexico-pampanga-at-the-17077107237.html
"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Como Model",House,"Panipuan, Mexico",Mexico,Pampanga,Region III,0,"2,747,500",3,na,78,154,232,11842.67,15.102519,120.668492,https://www.lamudi.com.ph/3-bedroom-house-for-sale-in-mexico-pampanga-at-the-170771072384.html
"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Pebble Model",House,"Panipuan, Mexico",Mexico,Pampanga,Region III,0,"2,146,550",3,na,61,154,215,9983.95,15.102519,120.668492,https://www.lamudi.com.ph/3-bedroom-house-for-sale-in-mexico-pampanga-at-the-170771072520.html
"2BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga",House,"Eden, Mexico",Mexico,Pampanga,Region III,0,"3,970,000",2,na,59,88,147,27006.8,15.1284,120.6539916,https://www.lamudi.com.ph/2br-single-attached-house-and-lot-for-sale-in-mexi-170789171090.html
